letters U+102 U+0C2 U+0CA U+0D3 U+1A0 U+1AF
0xb0	0x0300	COMBINING GRAVE
0x4e	0x004e	LATIN CAPITAL LETTER N
0x4f	0x004f	LATIN CAPITAL LETTER O
0x92	0x00d2	LATIN CAPITAL LETTER O WITH GRAVE
0x93	0x1ece	LATIN CAPITAL LETTER O WITH HOOK ABOVE
0x94	0x00d5	LATIN CAPITAL LETTER O WITH TILDE
0x95	0x00d3	LATIN CAPITAL LETTER O WITH ACUTE
0x96	0x1ecc	LATIN CAPITAL LETTER O WITH DOT BELOW
0xa4	0x00d4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0xdb	0x1ed2	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND GRAVE
0xe0	0x1ed4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
0xf0	0x1ed6	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND TILDE
0xff	0x1ed0	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND ACUTE
0x97	0x1ed8	LATIN CAPITAL LETTER O WITH CIRCUMFLEX AND DOT BELOW
0xa5	0x01a0	LATIN CAPITAL LETTER O WITH HORN
0x98	0x1edc	LATIN CAPITAL LETTER O WITH HORN AND GRAVE
0x99	0x1ede	LATIN CAPITAL LETTER O WITH HORN AND HOOK ABOVE
0x9a	0x1ee0	LATIN CAPITAL LETTER O WITH HORN AND TILDE
0x9b	0x1eda	LATIN CAPITAL LETTER O WITH HORN AND ACUTE
0x9c	0x1ee2	LATIN CAPITAL LETTER O WITH HORN AND DOT BELOW
0x50	0x0050	LATIN CAPITAL LETTER P
0x51	0x0051	LATIN CAPITAL LETTER Q
0x52	0x0052	LATIN CAPITAL LETTER R
0x53	0x0053	LATIN CAPITAL LETTER S
0x54	0x0054	LATIN CAPITAL LETTER T
0x55	0x0055	LATIN CAPITAL LETTER U
0x9d	0x00d9	LATIN CAPITAL LETTER U WITH GRAVE
0x9e	0x1ee6	LATIN CAPITAL LETTER U WITH HOOK ABOVE
0x9f	0x0168	LATIN CAPITAL LETTER U WITH TILDE
0x01	0x00da	LATIN CAPITAL LETTER U WITH ACUTE
0x02	0x1ee4	LATIN CAPITAL LETTER U WITH DOT BELOW
0xa6	0x01af	LATIN CAPITAL LETTER U WITH HORN
0x04	0x1eea	LATIN CAPITAL LETTER U WITH HORN AND GRAVE
0x05	0x1eec	LATIN CAPITAL LETTER U WITH HORN AND HOOK ABOVE
0x06	0x1eee	LATIN CAPITAL LETTER U WITH HORN AND TILDE
0x11	0x1ee8	LATIN CAPITAL LETTER U WITH HORN AND ACUTE
0x12	0x1ef0	LATIN CAPITAL LETTER U WITH HORN AND DOT BELOW
0x56	0x0056	LATIN CAPITAL LETTER V
0x57	0x0057	LATIN CAPITAL LETTER W
0x58	0x0058	LATIN CAPITAL LETTER X
0x59	0x0059	LATIN CAPITAL LETTER Y
0x13	0x1ef2	LATIN CAPITAL LETTER Y WITH GRAVE
0x14	0x1ef6	LATIN CAPITAL LETTER Y WITH HOOK ABOVE
0x15	0x1ef8	LATIN CAPITAL LETTER Y WITH TILDE
0x16	0x00dd	LATIN CAPITAL LETTER Y WITH ACUTE
0x17	0x1ef4	LATIN CAPITAL LETTER Y WITH DOT BELOW
0x5a	0x005a	LATIN CAPITAL LETTER Z
0x61	0x0061	LATIN SMALL LETTER A
0xb5	0x00e0	LATIN SMALL LETTER A WITH GRAVE
0xb6	0x1ea3	LATIN SMALL LETTER A WITH HOOK ABOVE
0xb7	0x00e3	LATIN SMALL LETTER A WITH TILDE
0xb8	0x00e1	LATIN SMALL LETTER A WITH ACUTE
0xb9	0x1ea1	LATIN SMALL LETTER A WITH DOT BELOW
0xa8	0x0103	LATIN SMALL LETTER A WITH BREVE
0xbb	0x1eb1	LATIN SMALL LETTER A WITH BREVE AND GRAVE
0xbc	0x1eb3	LATIN SMALL LETTER A WITH BREVE AND HOOK ABOVE
0xbd	0x1eb5	LATIN SMALL LETTER A WITH BREVE AND TILDE
0xbe	0x1eaf	LATIN SMALL LETTER A WITH BREVE AND ACUTE
0xc6	0x1eb7	LATIN SMALL LETTER A WITH BREVE AND DOT BELOW
0xa9	0x00e2	LATIN SMALL LETTER A WITH CIRCUMFLEX
0xc7	0x1ea7	LATIN SMALL LETTER A WITH CIRCUMFLEX AND GRAVE
0xc8	0x1ea9	LATIN SMALL LETTER A WITH CIRCUMFLEX AND HOOK ABOVE
0xc9	0x1eab	LATIN SMALL LETTER A WITH CIRCUMFLEX AND TILDE
0xca	0x1ea5	LATIN SMALL LETTER A WITH CIRCUMFLEX AND ACUTE
0xcb	0x1ead	LATIN SMALL LETTER A WITH CIRCUMFLEX AND DOT BELOW
0x62	0x0062	LATIN SMALL LETTER B
0x63	0x0063	LATIN SMALL LETTER C
0x64	0x0064	LATIN SMALL LETTER D
0xae	0x0111	LATIN SMALL LETTER D WITH STROKE
0x65	0x0065	LATIN SMALL LETTER E
0xcc	0x00e8	LATIN SMALL LETTER E WITH GRAVE
0xce	0x1ebb	LATIN SMALL LETTER E WITH HOOK ABOVE
0xcf	0x1ebd	LATIN SMALL LETTER E WITH TILDE
0xd0	0x00e9	LATIN SMALL LETTER E WITH ACUTE
0xd1	0x1eb9	LATIN SMALL LETTER E WITH DOT BELOW
0xaa	0x00ea	LATIN SMALL LETTER E WITH CIRCUMFLEX
0xd2	0x1ec1	LATIN SMALL LETTER E WITH CIRCUMFLEX AND GRAVE
0xd3	0x1ec3	LATIN SMALL LETTER E WITH CIRCUMFLEX AND HOOK ABOVE
0xd4	0x1ec5	LATIN SMALL LETTER E WITH CIRCUMFLEX AND TILDE
0xd5	0x1ebf	LATIN SMALL LETTER E WITH CIRCUMFLEX AND ACUTE
0xd6	0x1ec7	LATIN SMALL LETTER E WITH CIRCUMFLEX AND DOT BELOW
0x66	0x0066	LATIN SMALL LETTER F
0x67	0x0067	LATIN SMALL LETTER G
0x68	0x0068	LATIN SMALL LETTER H
0x69	0x0069	LATIN SMALL LETTER I
0xd7	0x00ec	LATIN SMALL LETTER I WITH GRAVE
0xd8	0x1ec9	LATIN SMALL LETTER I WITH HOOK ABOVE
0xdc	0x0129	LATIN SMALL LETTER I WITH TILDE
0xdd	0x00ed	LATIN SMALL LETTER I WITH ACUTE
0xde	0x1ecb	LATIN SMALL LETTER I WITH DOT BELOW
0x6a	0x006a	LATIN SMALL LETTER J
0x6b	0x006b	LATIN SMALL LETTER K
0x6c	0x006c	LATIN SMALL LETTER L
0x6d	0x006d	LATIN SMALL LETTER M
0x6e	0x006e	LATIN SMALL LETTER N
0x6f	0x006f	LATIN SMALL LETTER O
0xdf	0x00f2	LATIN SMALL LETTER O WITH GRAVE
0xe1	0x1ecf	LATIN SMALL LETTER O WITH HOOK ABOVE
0xe2	0x00f5	LATIN SMALL LETTER O WITH TILDE
0xe3	0x00f3	LATIN SMALL LETTER O WITH ACUTE
0xe4	0x1ecd	LATIN SMALL LETTER O WITH DOT BELOW
0xab	0x00f4	LATIN SMALL LETTER O WITH CIRCUMFLEX
0xe5	0x1ed3	LATIN SMALL LETTER O WITH CIRCUMFLEX AND GRAVE
0xe6	0x1ed5	LATIN SMALL LETTER O WITH CIRCUMFLEX AND HOOK ABOVE
0xe7	0x1ed7	LATIN SMALL LETTER O WITH CIRCUMFLEX AND TILDE
0xe8	0x1ed1	LATIN SMALL LETTER O WITH CIRCUMFLEX AND ACUTE
0xe9	0x1ed9	LATIN SMALL LETTER O WITH CIRCUMFLEX AND DOT BELOW
0xac	0x01a1	LATIN SMALL LETTER O WITH HORN
0xea	0x1edd	LATIN SMALL LETTER O WITH HORN AND GRAVE
0xeb	0x1edf	LATIN SMALL LETTER O WITH HORN AND HOOK ABOVE
0xec	0x1ee1	LATIN SMALL LETTER O WITH HORN AND TILDE
0xed	0x1edb	LATIN SMALL LETTER O WITH HORN AND ACUTE
0xee	0x1ee3	LATIN SMALL LETTER O WITH HORN AND DOT BELOW
0x70	0x0070	LATIN SMALL LETTER P
0x71	0x0071	LATIN SMALL LETTER Q
0x72	0x0072	LATIN SMALL LETTER R
0x73	0x0073	LATIN SMALL LETTER S
0x74	0x0074	LATIN SMALL LETTER T
0x75	0x0075	LATIN SMALL LETTER U
0xef	0x00f9	LATIN SMALL LETTER U WITH GRAVE
0xf1	0x1ee7	LATIN SMALL LETTER U WITH HOOK ABOVE
0xf2	0x0169	LATIN SMALL LETTER U WITH TILDE
0xf3	0x00fa	LATIN SMALL LETTER U WITH ACUTE
0xf4	0x1ee5	LATIN SMALL LETTER U WITH DOT BELOW
0xad	0x01b0	LATIN SMALL LETTER U WITH HORN
0xf5	0x1eeb	LATIN SMALL LETTER U WITH HORN AND GRAVE
0xf6	0x1eed	LATIN SMALL LETTER U WITH HORN AND HOOK ABOVE
0xf7	0x1eef	LATIN SMALL LETTER U WITH HORN AND TILDE
0xf8	0x1ee9	LATIN SMALL LETTER U WITH HORN AND ACUTE
0xf9	0x1ef1	LATIN SMALL LETTER U WITH HORN AND DOT BELOW
0x76	0x0076	LATIN SMALL LETTER V
0x77	0x0077	LATIN SMALL LETTER W
0x78	0x0078	LATIN SMALL LETTER X
0x79	0x0079	LATIN SMALL LETTER Y
0xfa	0x1ef3	LATIN SMALL LETTER Y WITH GRAVE
0xfb	0x1ef7	LATIN SMALL LETTER Y WITH HOOK ABOVE
0xfc	0x1ef9	LATIN SMALL LETTER Y WITH TILDE
0xfd	0x00fd	LATIN SMALL LETTER Y WITH ACUTE
0xfe	0x1ef5	LATIN SMALL LETTER Y WITH DOT BELOW
0x7a	0x007a	LATIN SMALL LETTER Z
