00A0 ! 0020 # <noBreak>
0135 = 006A 0302
0136 = 004B 0327
0137 = 006B 0327
0139 = 004C 0301
013A = 006C 0301
013B = 004C 0327
013C = 006C 0327
013D = 004C 030C
013E = 006C 030C
013F ! 004C 00B7 # <compat>
0140 ! 006C 00B7 # <compat>
0143 = 004E 0301
0144 = 006E 0301
0145 = 004E 0327
0146 = 006E 0327
0147 = 004E 030C
0148 = 006E 030C
0149 ! 02BC 006E # <compat>
014C = 004F 0304
014D = 006F 0304
014E = 004F 0306
014F = 006F 0306
0150 = 004F 030B
0151 = 006F 030B
0152 ! 004F 0045 # <compat>
0153 ! 006F 0065 # <compat>
0154 = 0052 0301
0155 = 0072 0301
0156 = 0052 0327
0157 = 0072 0327
0158 = 0052 030C
0159 = 0072 030C
015A = 0053 0301
015B = 0073 0301
015C = 0053 0302
015D = 0073 0302
015E = 0053 0327
015F = 0073 0327
0160 = 0053 030C
0161 = 0073 030C
0162 = 0054 0327
0163 = 0074 0327
0164 = 0054 030C
0165 = 0074 030C
0168 = 0055 0303
0169 = 0075 0303
016A = 0055 0304
016B = 0075 0304
016C = 0055 0306
016D = 0075 0306
016E = 0055 030A
016F = 0075 030A
0170 = 0055 030B
0171 = 0075 030B
0172 = 0055 0328
0173 = 0075 0328
0174 = 0057 0302
0175 = 0077 0302
0176 = 0059 0302
0177 = 0079 0302
0178 = 0059 0308
0179 = 005A 0301
017A = 007A 0301
017B = 005A 0307
017C = 007A 0307
017D = 005A 030C
017E = 007A 030C
017F ! 0073 # <compat>
01A0 = 004F 031B
01A1 = 006F 031B
01AF = 0055 031B
01B0 = 0075 031B
01C4 ! 0044 017D # <compat>
01C4 ! 0044 005A 030C # <compat>
01C5 ! 0044 017E # <compat>
01C5 ! 0044 007A 030C # <compat>
01C6 ! 0064 017E # <compat>
01C6 ! 0064 007A 030C # <compat>
01C7 ! 004C 004A # <compat>
01C8 ! 004C 006A # <compat>
01C9 ! 006C 006A # <compat>
01CA ! 004E 004A # <compat>
01CB ! 004E 006A # <compat>
01CC ! 006E 006A # <compat>
01CD = 0041 030C
01CE = 0061 030C
01CF = 0049 030C
01D0 = 0069 030C
01D1 = 004F 030C
01D2 = 006F 030C
01D3 = 0055 030C
01D4 = 0075 030C
01D5 = 00DC 0304
01D5 = 0055 0308 0304
01D6 = 00FC 0304
01D6 = 0075 0308 0304
01D7 = 00DC 0301
01D7 = 0055 0308 0301
01D8 = 00FC 0301
01D8 = 0075 0308 0301
01D9 = 00DC 030C
01D9 = 0055 0308 030C
01DA = 00FC 030C
01DA = 0075 0308 030C
01DB = 00DC 0300
01DB = 0055 0308 0300
01DC = 00FC 0300
01DC = 0075 0308 0300
01DE = 00C4 0304
01DE = 0041 0308 0304
01DF = 00E4 0304
01DF = 0061 0308 0304
01E0 = 0226 0304
01E0 = 0041 0307 0304
01E1 = 0227 0304
01E1 = 0061 0307 0304
01E2 = 00C6 0304
01E2 ! 0041 0045 0304
01E3 = 00E6 0304
01E3 ! 0061 0065 0304
01E6 = 0047 030C
01E7 = 0067 030C
01E8 = 004B 030C
01E9 = 006B 030C
01EA = 004F 0328
01EB = 006F 0328
01EC = 01EA 0304
01EC = 004F 0328 0304
01ED = 01EB 0304
01ED = 006F 0328 0304
01EE = 01B7 030C
01EF = 0292 030C
01F0 = 006A 030C
01F1 ! 0044 005A # <compat>
01F2 ! 0044 007A # <compat>
01F3 ! 0064 007A # <compat>
01F4 = 0047 0301
01F5 = 0067 0301
01F8 = 004E 0300
01F9 = 006E 0300
01FA = 00C5 0301
01FA = 0041 030A 0301
01FB = 00E5 0301
01FB = 0061 030A 0301
01FC = 00C6 0301
01FC ! 0041 0045 0301
01FD = 00E6 0301
01FD ! 0061 0065 0301
01FE = 00D8 0301
01FF = 00F8 0301
0200 = 0041 030F
0201 = 0061 030F
0202 = 0041 0311
0203 = 0061 0311
0204 = 0045 030F
0205 = 0065 030F
0206 = 0045 0311
0207 = 0065 0311
0208 = 0049 030F
0209 = 0069 030F
020A = 0049 0311
020B = 0069 0311
020C = 004F 030F
020D = 006F 030F
020E = 004F 0311
020F = 006F 0311
0210 = 0052 030F
0211 = 0072 030F
0212 = 0052 0311
0213 = 0072 0311
0214 = 0055 030F
0215 = 0075 030F
0216 = 0055 0311
0217 = 0075 0311
0218 = 0053 0326
0219 = 0073 0326
021A = 0054 0326
021B = 0074 0326
021E = 0048 030C
021F = 0068 030C
0226 = 0041 0307
0227 = 0061 0307
0228 = 0045 0327
0229 = 0065 0327
022A = 00D6 0304
022A = 004F 0308 0304
022B = 00F6 0304
022B = 006F 0308 0304
022C = 00D5 0304
022C = 004F 0303 0304
022D = 00F5 0304
022D = 006F 0303 0304
022E = 004F 0307
022F = 006F 0307
0230 = 022E 0304
0230 = 004F 0307 0304
0231 = 022F 0304
0231 = 006F 0307 0304
0232 = 0059 0304
0233 = 0079 0304
0340 = 0300
0341 = 0301
0343 = 0313
0344 = 0308 0301
0374 = 02B9
037E = 003B
0385 = 00A8 0301
0386 = 0391 0301
0387 = 00B7
0388 = 0395 0301
0389 = 0397 0301
038A = 0399 0301
038C = 039F 0301
038E = 03A5 0301
038F = 03A9 0301
0390 = 03CA 0301
0390 = 03B9 0308 0301
03AA = 0399 0308
03AB = 03A5 0308
03AC = 03B1 0301
03AD = 03B5 0301
03AE = 03B7 0301
03AF = 03B9 0301
03B0 = 03CB 0301
03B0 = 03C5 0308 0301
03CA = 03B9 0308
03CB = 03C5 0308
03CC = 03BF 0301
03CD = 03C5 0301
03CE = 03C9 0301
03D3 = 03D2 0301
03D4 = 03D2 0308
0400 = 0415 0300
0401 = 0415 0308
0403 = 0413 0301
0407 = 0406 0308
040C = 041A 0301
040D = 0418 0300
040E = 0423 0306
0419 = 0418 0306
0439 = 0438 0306
0450 = 0435 0300
0451 = 0435 0308
0453 = 0433 0301
0457 = 0456 0308
045C = 043A 0301
045D = 0438 0300
045E = 0443 0306
0476 = 0474 030F
0477 = 0475 030F
04C1 = 0416 0306
04C2 = 0436 0306
04D0 = 0410 0306
04D1 = 0430 0306
04D2 = 0410 0308
04D3 = 0430 0308
04D6 = 0415 0306
04D7 = 0435 0306
04DA = 04D8 0308
04DB = 04D9 0308
04DC = 0416 0308
04DD = 0436 0308
04DE = 0417 0308
04DF = 0437 0308
04E2 = 0418 0304
04E3 = 0438 0304
04E4 = 0418 0308
04E5 = 0438 0308
04E6 = 041E 0308
04E7 = 043E 0308
04EA = 04E8 0308
04EB = 04E9 0308
04EC = 042D 0308
04ED = 044D 0308
04EE = 0423 0304
04EF = 0443 0304
04F0 = 0423 0308
04F1 = 0443 0308
04F2 = 0423 030B
04F3 = 0443 030B
04F4 = 0427 0308
04F5 = 0447 0308
04F8 = 042B 0308
04F9 = 044B 0308
0587 ! 0565 0582 # <compat>
0622 = 0627 0653
0623 = 0627 0654
0624 = 0648 0654
0625 = 0627 0655
0626 = 064A 0654
0675 ! 0627 0674 # <compat>
0676 ! 0648 0674 # <compat>
0677 ! 06C7 0674 # <compat>
0678 ! 064A 0674 # <compat>
06C0 = 06D5 0654
06C2 = 06C1 0654
06D3 = 06D2 0654
0929 = 0928 093C
0931 = 0930 093C
0934 = 0933 093C
0958 > 0915 093C
0959 > 0916 093C
095A > 0917 093C
095B > 091C 093C
095C > 0921 093C
095D > 0922 093C
095E > 092B 093C
095F > 092F 093C
09CB = 09C7 09BE
09CC = 09C7 09D7
09DC > 09A1 09BC
09DD > 09A2 09BC
09DF > 09AF 09BC
0A33 > 0A32 0A3C
0A36 > 0A38 0A3C
0A59 > 0A16 0A3C
0A5A > 0A17 0A3C
0A5B > 0A1C 0A3C
0A5E > 0A2B 0A3C
0B48 = 0B47 0B56
0B4B = 0B47 0B3E
0B4C = 0B47 0B57
0B5C > 0B21 0B3C
0B5D > 0B22 0B3C
0B94 = 0B92 0BD7
0BCA = 0BC6 0BBE
0BCB = 0BC7 0BBE
0BCC = 0BC6 0BD7
0C48 = 0C46 0C56
0CC0 = 0CBF 0CD5
0CC7 = 0CC6 0CD5
0CC8 = 0CC6 0CD6
0CCA = 0CC6 0CC2
0CCB = 0CCA 0CD5
0CCB = 0CC6 0CC2 0CD5
0D4A = 0D46 0D3E
0D4B = 0D47 0D3E
0D4C = 0D46 0D57
0DDA = 0DD9 0DCA
0DDC = 0DD9 0DCF
0DDD = 0DDC 0DCA
0DDD = 0DD9 0DCF 0DCA
0DDE = 0DD9 0DDF
0E33 ! 0E4D 0E32 # <compat>
0EB3 ! 0ECD 0EB2 # <compat>
0EDC ! 0EAB 0E99 # <compat>
0EDD ! 0EAB 0EA1 # <compat>
0F0C ! 0F0B # <noBreak>
0F43 > 0F42 0FB7
0F4D > 0F4C 0FB7
0F52 > 0F51 0FB7
0F57 > 0F56 0FB7
0F5C > 0F5B 0FB7
0F69 > 0F40 0FB5
0F73 = 0F71 0F72
0F75 = 0F71 0F74
0F76 > 0FB2 0F80
0F77 ! 0FB2 0F81 # <compat>
0F77 ! 0FB2 0F71 0F80 # <compat>
0F78 > 0FB3 0F80
0F79 ! 0FB3 0F81 # <compat>
0F79 ! 0FB3 0F71 0F80 # <compat>
0F81 = 0F71 0F80
0F93 > 0F92 0FB7
0F9D > 0F9C 0FB7
0FA2 > 0FA1 0FB7
0FA7 > 0FA6 0FB7
0FAC > 0FAB 0FB7
0FB9 > 0F90 0FB5
1026 = 1025 102E
1200 = E440 E430
1201 = E440 E431
1202 = E440 E432
1203 = E440 E433
1204 = E440 E434
1205 = E440 E435
1206 = E440 E436
1207 = E440 E437
1208 = E441 E430
1209 = E441 E431
120A = E441 E432
120B = E441 E433
120C = E441 E434
120D = E441 E435
120E = E441 E436
120F = E441 E43B
1210 = E442 E430
1211 = E442 E431
1212 = E442 E432
1213 = E442 E433
1214 = E442 E434
1215 = E442 E435
1216 = E442 E436
1217 = E442 E43B
1218 = E443 E430
1219 = E443 E431
121A = E443 E432
121B = E443 E433
121C = E443 E434
121D = E443 E435
121E = E443 E436
121F = E443 E43B
1220 = E444 E430
1221 = E444 E431
1222 = E444 E432
1223 = E444 E433
1224 = E444 E434
1225 = E444 E435
1226 = E444 E436
1227 = E444 E43B
1228 = E445 E430
1229 = E445 E431
122A = E445 E432
122B = E445 E433
122C = E445 E434
122D = E445 E435
122E = E445 E436
122F = E445 E43B
1230 = E446 E430
1231 = E446 E431
1232 = E446 E432
1233 = E446 E433
1234 = E446 E434
1235 = E446 E435
1236 = E446 E436
1237 = E446 E43B
1238 = E447 E430
1239 = E447 E431
123A = E447 E432
123B = E447 E433
123C = E447 E434
123D = E447 E435
123E = E447 E436
123F = E447 E43B
1240 = E449 E430
1241 = E449 E431
1242 = E449 E432
1243 = E449 E433
1244 = E449 E434
1245 = E449 E435
1246 = E449 E436
1247 = E449 E437
1248 = E449 E438
124A = E449 E43A
124B = E449 E43B
124C = E449 E43C
124D = E449 E439
1250 = E44A E430
1251 = E44A E431
1252 = E44A E432
1253 = E44A E433
1254 = E44A E434
1255 = E44A E435
1256 = E44A E436
1258 = E44A E438
125A = E44A E43A
125B = E44A E43B
125C = E44A E43C
125D = E44A E439
1260 = E44C E430
1261 = E44C E431
1262 = E44C E432
1263 = E44C E433
1264 = E44C E434
1265 = E44C E435
1266 = E44C E436
1267 = E44C E43B
1268 = E44D E430
1269 = E44D E431
126A = E44D E432
126B = E44D E433
126C = E44D E434
126D = E44D E435
126E = E44D E436
126F = E44D E43B
1270 = E44E E430
1271 = E44E E431
1272 = E44E E432
1273 = E44E E433
1274 = E44E E434
1275 = E44E E435
1276 = E44E E436
1277 = E44E E43B
1278 = E44F E430
1279 = E44F E431
127A = E44F E432
127B = E44F E433
127C = E44F E434
127D = E44F E435
127E = E44F E436
127F = E44F E43B
1280 = E451 E430
1281 = E451 E431
1282 = E451 E432
1283 = E451 E433
1284 = E451 E434
1285 = E451 E435
1286 = E451 E436
1287 = E451 E437
1288 = E451 E438
128A = E451 E43A
128B = E451 E43B
128C = E451 E43C
128D = E451 E439
1290 = E452 E430
1291 = E452 E431
1292 = E452 E432
1293 = E452 E433
1294 = E452 E434
1295 = E452 E435
1296 = E452 E436
1297 = E452 E43B
1298 = E453 E430
1299 = E453 E431
129A = E453 E432
129B = E453 E433
129C = E453 E434
129D = E453 E435
129E = E453 E436
129F = E453 E43B
12A0 = E454 E430
12A1 = E454 E431
12A2 = E454 E432
12A3 = E454 E433
12A4 = E454 E434
12A5 = E454 E435
12A6 = E454 E436
12A7 = E454 E438
12A8 = E455 E430
12A9 = E455 E431
12AA = E455 E432
12AB = E455 E433
12AC = E455 E434
12AD = E455 E435
12AE = E455 E436
12B0 = E455 E438
12B2 = E455 E43A
12B3 = E455 E43B
12B4 = E455 E43C
12B5 = E455 E439
12B8 = E457 E430
12B9 = E457 E431
12BA = E457 E432
12BB = E457 E433
12BC = E457 E434
12BD = E457 E435
12BE = E457 E436
12C0 = E457 E438
12C2 = E457 E43A
12C3 = E457 E43B
12C4 = E457 E43C
12C5 = E457 E439
12C8 = E459 E430
12C9 = E459 E431
12CA = E459 E432
12CB = E459 E433
12CC = E459 E434
12CD = E459 E435
12CE = E459 E436
12CF = E459 E437
12D0 = E45A E430
12D1 = E45A E431
12D2 = E45A E432
12D3 = E45A E433
12D4 = E45A E434
12D5 = E45A E435
12D6 = E45A E436
12D8 = E45B E430
12D9 = E45B E431
12DA = E45B E432
12DB = E45B E433
12DC = E45B E434
12DD = E45B E435
12DE = E45B E436
12DF = E45B E43B
12E0 = E45C E430
12E1 = E45C E431
12E2 = E45C E432
12E3 = E45C E433
12E4 = E45C E434
12E5 = E45C E435
12E6 = E45C E436
12E7 = E45C E43B
12E8 = E45E E430
12E9 = E45E E431
12EA = E45E E432
12EB = E45E E433
12EC = E45E E434
12ED = E45E E435
12EE = E45E E436
12EF = E45E E437
12F0 = E45F E430
12F1 = E45F E431
12F2 = E45F E432
12F3 = E45F E433
12F4 = E45F E434
12F5 = E45F E435
12F6 = E45F E436
12F7 = E45F E43B
12F8 = E460 E430
12F9 = E460 E431
12FA = E460 E432
12FB = E460 E433
12FC = E460 E434
12FD = E460 E435
12FE = E460 E436
12FF = E460 E43B
1300 = E461 E430
1301 = E461 E431
1302 = E461 E432
1303 = E461 E433
1304 = E461 E434
1305 = E461 E435
1306 = E461 E436
1307 = E461 E43B
1308 = E462 E430
1309 = E462 E431
130A = E462 E432
130B = E462 E433
130C = E462 E434
130D = E462 E435
130E = E462 E436
130F = E462 E437
1310 = E462 E438
1312 = E462 E43A
1313 = E462 E43B
1314 = E462 E43C
1315 = E462 E439
1318 = E463 E430
1319 = E463 E431
131A = E463 E432
131B = E463 E433
131C = E463 E434
131D = E463 E435
131E = E463 E436
131F = E463 E43B
1320 = E465 E430
1321 = E465 E431
1322 = E465 E432
1323 = E465 E433
1324 = E465 E434
1325 = E465 E435
1326 = E465 E436
1327 = E465 E43B
1328 = E466 E430
1329 = E466 E431
132A = E466 E432
132B = E466 E433
132C = E466 E434
132D = E466 E435
132E = E466 E436
132F = E466 E43B
1330 = E468 E430
1331 = E468 E431
1332 = E468 E432
1333 = E468 E433
1334 = E468 E434
1335 = E468 E435
1336 = E468 E436
1337 = E468 E43B
1338 = E469 E430
1339 = E469 E431
133A = E469 E432
133B = E469 E433
133C = E469 E434
133D = E469 E435
133E = E469 E436
133F = E469 E43B
1340 = E46A E430
1341 = E46A E431
1342 = E46A E432
1343 = E46A E433
1344 = E46A E434
1345 = E46A E435
1346 = E46A E436
1348 = E46B E430
1349 = E46B E431
134A = E46B E432
134B = E46B E433
134C = E46B E434
134D = E46B E435
134E = E46B E436
134F = E46B E43B
1350 = E46C E430
1351 = E46C E431
1352 = E46C E432
1353 = E46C E433
1354 = E46C E434
1355 = E46C E435
1356 = E46C E436
1357 = E46C E43B
1380 = E443 E438
1381 = E443 E439
1382 = E443 E43A
1383 = E443 E43C
1384 = E44C E438
1385 = E44C E439
1386 = E44C E43A
1387 = E44C E43C
1388 = E46B E438
1389 = E46B E439
138A = E46B E43A
138B = E46B E43C
138C = E46C E438
138D = E46C E439
138E = E46C E43A
138F = E46C E43C
1E00 = 0041 0325
1E01 = 0061 0325
1E02 = 0042 0307
1E03 = 0062 0307
1E04 = 0042 0323
1E05 = 0062 0323
1E06 = 0042 0331
1E07 = 0062 0331
1E08 = 00C7 0301
1E08 = 0043 0327 0301
1E09 = 00E7 0301
1E09 = 0063 0327 0301
1E0A = 0044 0307
1E0B = 0064 0307
1E0C = 0044 0323
1E0D = 0064 0323
1E0E = 0044 0331
1E0F = 0064 0331
1E10 = 0044 0327
1E11 = 0064 0327
1E12 = 0044 032D
1E13 = 0064 032D
1E14 = 0112 0300
1E14 = 0045 0304 0300
1E15 = 0113 0300
1E15 = 0065 0304 0300
1E16 = 0112 0301
1E16 = 0045 0304 0301
1E17 = 0113 0301
1E17 = 0065 0304 0301
1E18 = 0045 032D
1E19 = 0065 032D
1E1A = 0045 0330
1E1B = 0065 0330
1E1C = 0228 0306
1E1C = 0045 0327 0306
1E1D = 0229 0306
1E1D = 0065 0327 0306
1E1E = 0046 0307
1E1F = 0066 0307
1E20 = 0047 0304
1E21 = 0067 0304
1E22 = 0048 0307
1E23 = 0068 0307
1E24 = 0048 0323
1E25 = 0068 0323
1E26 = 0048 0308
1E27 = 0068 0308
1E28 = 0048 0327
1E29 = 0068 0327
1E2A = 0048 032E
1E2B = 0068 032E
1E2C = 0049 0330
1E2D = 0069 0330
1E2E = 00CF 0301
1E2E = 0049 0308 0301
1E2F = 00EF 0301
1E2F = 0069 0308 0301
1E30 = 004B 0301
1E31 = 006B 0301
1E32 = 004B 0323
1E33 = 006B 0323
1E34 = 004B 0331
1E35 = 006B 0331
1E36 = 004C 0323
1E37 = 006C 0323
1E38 = 1E36 0304
1E38 = 004C 0323 0304
1E39 = 1E37 0304
1E39 = 006C 0323 0304
1E3A = 004C 0331
1E3B = 006C 0331
1E3C = 004C 032D
1E3D = 006C 032D
1E3E = 004D 0301
1E3F = 006D 0301
1E40 = 004D 0307
1E41 = 006D 0307
1E42 = 004D 0323
1E43 = 006D 0323
1E44 = 004E 0307
1E45 = 006E 0307
1E46 = 004E 0323
1E47 = 006E 0323
1E48 = 004E 0331
1E49 = 006E 0331
1E4A = 004E 032D
1E4B = 006E 032D
1E4C = 00D5 0301
1E4C = 004F 0303 0301
1E4D = 00F5 0301
1E4D = 006F 0303 0301
1E4E = 00D5 0308
1E4E = 004F 0303 0308
1E4F = 00F5 0308
1E4F = 006F 0303 0308
1E50 = 014C 0300
1E50 = 004F 0304 0300
1E51 = 014D 0300
1E51 = 006F 0304 0300
1E52 = 014C 0301
1E52 = 004F 0304 0301
1E53 = 014D 0301
1E53 = 006F 0304 0301
1E54 = 0050 0301
1E55 = 0070 0301
1E56 = 0050 0307
1E57 = 0070 0307
1E58 = 0052 0307
1E59 = 0072 0307
1E5A = 0052 0323
1E5B = 0072 0323
1E5C = 1E5A 0304
1E5C = 0052 0323 0304
1E5D = 1E5B 0304
1E5D = 0072 0323 0304
1E5E = 0052 0331
1E5F = 0072 0331
1E60 = 0053 0307
1E61 = 0073 0307
1E62 = 0053 0323
1E63 = 0073 0323
1E64 = 015A 0307
1E64 = 0053 0301 0307
1E65 = 015B 0307
1E65 = 0073 0301 0307
1E66 = 0160 0307
1E66 = 0053 030C 0307
1E67 = 0161 0307
1E67 = 0073 030C 0307
1E68 = 1E62 0307
1E68 = 0053 0323 0307
1E69 = 1E63 0307
1E69 = 0073 0323 0307
1E6A = 0054 0307
1E6B = 0074 0307
1E6C = 0054 0323
1E6D = 0074 0323
1E6E = 0054 0331
1E6F = 0074 0331
1E70 = 0054 032D
1E71 = 0074 032D
1E72 = 0055 0324
1E73 = 0075 0324
1E74 = 0055 0330
1E75 = 0075 0330
1E76 = 0055 032D
1E77 = 0075 032D
1E78 = 0168 0301
1E78 = 0055 0303 0301
1E79 = 0169 0301
1E79 = 0075 0303 0301
1E7A = 016A 0308
1E7A = 0055 0304 0308
1E7B = 016B 0308
1E7B = 0075 0304 0308
1E7C = 0056 0303
1E7D = 0076 0303
1E7E = 0056 0323
1E7F = 0076 0323
1E80 = 0057 0300
1E81 = 0077 0300
1E82 = 0057 0301
1E83 = 0077 0301
1E84 = 0057 0308
1E85 = 0077 0308
1E86 = 0057 0307
1E87 = 0077 0307
1E88 = 0057 0323
1E89 = 0077 0323
1E8A = 0058 0307
1E8B = 0078 0307
1E8C = 0058 0308
1E8D = 0078 0308
1E8E = 0059 0307
1E8F = 0079 0307
1E90 = 005A 0302
1E91 = 007A 0302
1E92 = 005A 0323
1E93 = 007A 0323
1E94 = 005A 0331
1E95 = 007A 0331
1E96 = 0068 0331
1E97 = 0074 0308
1E98 = 0077 030A
1E99 = 0079 030A
1E9A ! 0061 02BE # <compat>
1E9B = 017F 0307
1E9B ! 0073 0307
1EA0 = 0041 0323
1EA1 = 0061 0323
1EA2 = 0041 0309
1EA3 = 0061 0309
1EA4 = 00C2 0301
1EA4 = 0041 0302 0301
1EA5 = 00E2 0301
1EA5 = 0061 0302 0301
1EA6 = 00C2 0300
1EA6 = 0041 0302 0300
1EA7 = 00E2 0300
1EA7 = 0061 0302 0300
1EA8 = 00C2 0309
1EA8 = 0041 0302 0309
1EA9 = 00E2 0309
1EA9 = 0061 0302 0309
1EAA = 00C2 0303
1EAA = 0041 0302 0303
1EAB = 00E2 0303
1EAB = 0061 0302 0303
1EAC = 1EA0 0302
1EAC = 0041 0323 0302
1EAD = 1EA1 0302
1EAD = 0061 0323 0302
1EAE = 0102 0301
1EAE = 0041 0306 0301
1EAF = 0103 0301
1EAF = 0061 0306 0301
1EB0 = 0102 0300
1EB0 = 0041 0306 0300
1EB1 = 0103 0300
1EB1 = 0061 0306 0300
1EB2 = 0102 0309
1EB2 = 0041 0306 0309
1EB3 = 0103 0309
1EB3 = 0061 0306 0309
1EB4 = 0102 0303
1EB4 = 0041 0306 0303
1EB5 = 0103 0303
1EB5 = 0061 0306 0303
1EB6 = 1EA0 0306
1EB6 = 0041 0323 0306
1EB7 = 1EA1 0306
1EB7 = 0061 0323 0306
1EB8 = 0045 0323
1EB9 = 0065 0323
1EBA = 0045 0309
1EBB = 0065 0309
1EBC = 0045 0303
1EBD = 0065 0303
1EBE = 00CA 0301
1EBE = 0045 0302 0301
1EBF = 00EA 0301
1EBF = 0065 0302 0301
1EC0 = 00CA 0300
1EC0 = 0045 0302 0300
1EC1 = 00EA 0300
1EC1 = 0065 0302 0300
1EC2 = 00CA 0309
1EC2 = 0045 0302 0309
1EC3 = 00EA 0309
1EC3 = 0065 0302 0309
1EC4 = 00CA 0303
1EC4 = 0045 0302 0303
1EC5 = 00EA 0303
1EC5 = 0065 0302 0303
1EC6 = 1EB8 0302
1EC6 = 0045 0323 0302
1EC7 = 1EB9 0302
1EC7 = 0065 0323 0302
1EC8 = 0049 0309
1EC9 = 0069 0309
1ECA = 0049 0323
1ECB = 0069 0323
1ECC = 004F 0323
1ECD = 006F 0323
1ECE = 004F 0309
1ECF = 006F 0309
1ED0 = 00D4 0301
1ED0 = 004F 0302 0301
1ED1 = 00F4 0301
1ED1 = 006F 0302 0301
1ED2 = 00D4 0300
1ED2 = 004F 0302 0300
1ED3 = 00F4 0300
1ED3 = 006F 0302 0300
1ED4 = 00D4 0309
1ED4 = 004F 0302 0309
1ED5 = 00F4 0309
1ED5 = 006F 0302 0309
1ED6 = 00D4 0303
1ED6 = 004F 0302 0303
1ED7 = 00F4 0303
1ED7 = 006F 0302 0303
1ED8 = 1ECC 0302
1ED8 = 004F 0323 0302
1ED9 = 1ECD 0302
1ED9 = 006F 0323 0302
1EDA = 01A0 0301
1EDA = 004F 031B 0301
1EDB = 01A1 0301
1EDB = 006F 031B 0301
1EDC = 01A0 0300
1EDC = 004F 031B 0300
1EDD = 01A1 0300
1EDD = 006F 031B 0300
1EDE = 01A0 0309
1EDE = 004F 031B 0309
1EDF = 01A1 0309
1EDF = 006F 031B 0309
1EE0 = 01A0 0303
1EE0 = 004F 031B 0303
1EE1 = 01A1 0303
1EE1 = 006F 031B 0303
1EE2 = 01A0 0323
1EE2 = 004F 031B 0323
1EE3 = 01A1 0323
1EE3 = 006F 031B 0323
1EE4 = 0055 0323
1EE5 = 0075 0323
1EE6 = 0055 0309
1EE7 = 0075 0309
1EE8 = 01AF 0301
1EE8 = 0055 031B 0301
1EE9 = 01B0 0301
1EE9 = 0075 031B 0301
1EEA = 01AF 0300
1EEA = 0055 031B 0300
1EEB = 01B0 0300
1EEB = 0075 031B 0300
1EEC = 01AF 0309
1EEC = 0055 031B 0309
1EED = 01B0 0309
1EED = 0075 031B 0309
1EEE = 01AF 0303
1EEE = 0055 031B 0303
1EEF = 01B0 0303
1EEF = 0075 031B 0303
1EF0 = 01AF 0323
1EF0 = 0055 031B 0323
1EF1 = 01B0 0323
1EF1 = 0075 031B 0323
1EF2 = 0059 0300
1EF3 = 0079 0300
1EF4 = 0059 0323
1EF5 = 0079 0323
1EF6 = 0059 0309
1EF7 = 0079 0309
1EF8 = 0059 0303
1EF9 = 0079 0303
1F00 = 03B1 0313
1F01 = 03B1 0314
1F02 = 1F00 0300
1F02 = 03B1 0313 0300
1F03 = 1F01 0300
1F03 = 03B1 0314 0300
1F04 = 1F00 0301
1F04 = 03B1 0313 0301
1F05 = 1F01 0301
1F05 = 03B1 0314 0301
1F06 = 1F00 0342
